hhid,zone,state,lga,settlement,_geo_latitude,_geo_longitude,tot_population,med_temperature,med_precipitation,med_awi,med_spending,urca_2,urca_3,urca_4,urca_5,urca_6,urca_7,urca_9,urca_10,urca_11,urca_12,urca_13,urca_16,urca_18,electrification_prop_ti
8b7bf88e-f401-4a2d-ab48-f2b763539e2e,North Central,Niger,mashegu,Ibbi,9.4672843,4.9626957,7365.943359375,301.9774780273437,0.0018067251658067,0.2711480152901705,2.7198447111386983,False,False,False,False,False,False,False,False,False,True,False,False,False,0.6363636363636364
c44b69ed-e043-4b12-9765-3e79117ee03f,North West,Kano,garun_malam,Tsohon Gari,11.6453939,8.4478408,6295.86328125,299.5965576171875,0.0012006973847746,0.130273106560998,2.3170460193676994,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3636363636363636
99d27759-6f41-455f-ba7d-7ef4bf10be91,North West,Kano,garun_malam,Tsohon Gari,11.6453527,8.4475439,6308.802734375,299.5965576171875,0.0012006973847746,0.1276811010986584,2.3170460193676994,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3636363636363636
8695b519-6357-4bb9-9e6a-cd8411d95c6e,North West,Kano,garun_malam,Tsohon Gari,11.6456181,8.4472981,6174.72412109375,299.5965576171875,0.0012006973847746,0.1276811010986584,2.3170460193676994,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3636363636363636
b4481554-13e8-4a4b-8c9c-ba5a99cd8ce4,North West,Kano,garun_malam,Tsohon Gari,11.6457928,8.4455449,6107.61865234375,299.5965576171875,0.0012006973847746,0.1250890956363188,2.3170460193676994,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3076923076923077
e0e1f165-f0df-42d5-beac-d9cb725249df,North West,Kano,garun_malam,Tsohon Gari,11.6468236,8.443925,6097.7353515625,299.5965576171875,0.0012006973847746,0.1276811010986584,2.320227723272443,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3333333333333333
0e58e60b-7595-449d-81a4-b3ba28f431a3,South South,Akwa Ibom,onna,Ikot Ekpe,4.6284315,7.8569125,39848.4921875,299.545654296875,0.0097198346629738,0.6702754424435026,3.033865096841745,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0
2a5fe59d-d150-4e3e-a31f-2df465ea96e1,North West,Kano,ungogo,Rimin Zakara Unguwar Malam Hamza,11.9969382,8.4371417,77110.3359375,300.04254150390625,0.0011670461390167,0.9704100191561008,3.3729483603258,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
cffb5b29-6873-4241-b943-5eaf5852110c,North West,Katsina,bakori,Yan lemu,11.5321349,7.3461547,25884.873046875,298.2949523925781,0.0017258528387174,0.6726699121920776,2.991294057329709,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9090909090909092
e105ae05-9171-4895-9c83-40c40d938e17,South South,Rivers,obio/akpor,Iriebe,4.882847,7.1026869,32251.26171875,299.57745361328125,0.0074183084070682,1.1190913593350231,3.773811197387055,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
b2ba4f27-c083-4a7d-a272-870df84f56b5,North West,Katsina,bakori,Kofar fada,11.5924709,7.4513268,11262.466796875,298.5599670410156,0.0014954495709389,0.0745277077441003,2.1934241993553614,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3636363636363636
a9b936d3-167b-4766-ad92-035e333ae7bd,North Central,Kogi,lokoja,Karara,7.9386165,6.7540546,1300.555419921875,302.25732421875,0.0017796366009861,0.1419411484895645,2.4298574435335705,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2307692307692307
56f1ac6f-65e7-4344-9f54-6fd2d600f436,North Central,Nassarawa,lafia,Tudun kauri,8.4842405,8.5392597,38381.24609375,301.7252502441406,0.0021396144293248,0.6541247869742751,2.8788325203052407,False,False,False,True,False,False,False,False,False,False,False,False,False,1.0
8163dd73-7f80-4281-a5a9-6855a9fddbb7,North West,Kano,ungogo,Dogon  Marke,12.0811934,8.5371206,29468.056640625,299.981201171875,0.0010758873540908,0.7846107328651876,3.114356162525534,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7857142857142857
64064f3a-3e07-433c-8b0e-6e079e9032c9,North Central,Kogi,lokoja,Karara,7.9377331,6.7538743,1313.5189208984375,302.25732421875,0.0017796366009861,0.1504152016244876,2.4298574435335705,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2307692307692307
d380058b-242c-45e4-a768-8a4e35788bc9,North West,Katsina,bakori,Yan lemu,11.5318461,7.3462888,25747.9375,298.2949523925781,0.0017258528387174,0.6500743560568865,2.991294057329709,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8333333333333334
3ea2e0b9-c728-4e23-ab29-958e9f4a02a4,North West,Kaduna,jaba,Ungwan Gambo,9.4143651,7.961779,7950.0390625,299.1608581542969,0.002861738204956,0.0709153834219443,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
bd656eb8-0432-4207-a887-e5c145c950e0,North Central,Kogi,lokoja,Felele isegba,7.8470249,6.7246523,22384.6796875,301.93035888671875,0.0015580321196466,0.8769479055448185,3.234094222482081,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9166666666666666
4c47e7af-703a-4c78-97b6-27f524ce3159,North Central,Nassarawa,lafia,Nai yalwa,8.4802821,8.5398467,30203.501953125,301.7252502441406,0.0021396144293248,0.569315662339317,2.873935727555448,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9090909090909092
a2c53d4d-58ab-4a82-b02d-313114ef2b34,North West,Kaduna,jaba,Ohos,9.4113103,7.9611669,8571.908203125,299.1608581542969,0.002861738204956,0.0678240923515321,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
80876e44-18c1-4b03-a448-d73437b40cb8,North West,Kaduna,jaba,Ungwan jock,9.4156151,7.9599411,6401.279296875,299.1608581542969,0.002861738204956,0.0719751463766254,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
68f12387-9d7e-4a39-9c90-d126f4f49720,North West,Kaduna,jaba,Ungwan yaro,9.4118176,7.9605054,7938.79443359375,299.1608581542969,0.002861738204956,0.0693697378867382,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
d9919ddb-66cf-4832-918e-d7697f1248f7,North West,Kaduna,kajuru,Sabon gari Dutsen gaya,10.4005151,7.7085099,15175.56640625,298.5566711425781,0.0025655864737927,0.3574639432087847,2.649850943765121,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3846153846153846
8d31be29-8aad-448a-9297-99a09370ee98,North Central,Nassarawa,lafia,Mail yalwa,8.4804774,8.5390823,31272.169921875,301.7252502441406,0.0021396144293248,0.5705443569139894,2.877305730889373,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0
c134f7b9-587c-4dca-8380-32a43251d63b,North West,Kaduna,kajuru,Sabon gari dutsen gaya,10.4005592,7.7090232,15241.421875,298.5566711425781,0.0025655864737927,0.3522837779096966,2.649850943765121,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3846153846153846
04c4f60e-1f06-44ca-abb9-e7c03a79cd78,North West,Kaduna,kajuru,Sabon gari dutsen gaya,10.4000478,7.7099545,15499.12109375,298.5566711425781,0.0025655864737927,0.3522837779096966,2.649850943765121,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3846153846153846
14ee3d4e-75ff-4dec-8562-84afed63ffa3,North West,Kaduna,jaba,Ohos,9.4119566,7.962038,8858.0146484375,299.1608581542969,0.002861738204956,0.0693697378867382,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
853972a5-e773-431b-bc7c-a7c7f2c0682a,North Central,Niger,bosso,Unguwar fada,9.6379383,6.3278055,5100.69921875,301.91357421875,0.001829944201745,0.111117533296022,2.3276837118826887,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4285714285714285
a99dd8e1-acc5-4c6a-a239-b4a1177baf20,North West,Kaduna,chikun,Ungwar mission,10.3998365,7.7112813,15808.0517578125,298.5566711425781,0.0025655864737927,0.3574639432087847,2.6499171925792786,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4615384615384615
638b36c1-321a-497b-bc25-9d1902e52b0b,North West,Kaduna,chikun,Bayan primary,10.4005312,7.7112148,15757.091796875,298.5566711425781,0.0025655864737927,0.3522837779096966,2.6499171925792786,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4166666666666667
25facc62-e81d-458d-82ac-c8fbc6d530c9,North West,Kaduna,jaba,Gora A,9.4120033,7.9611812,8400.65234375,299.1608581542969,0.002861738204956,0.0693697378867382,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
50fd0fe5-acd0-4643-ad9e-1e95714dd570,North West,Kaduna,chikun,Ungwar mission,10.3997035,7.7096771,15520.1845703125,298.5566711425781,0.0025655864737927,0.3574639432087847,2.649850943765121,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3846153846153846
55e97b8a-83dd-4bcc-a52e-ce6c35316d3a,North West,Kaduna,chikun,Ungwar mission,10.3982312,7.7109559,15650.0126953125,298.5566711425781,0.0025655864737927,0.3626441085078728,2.650288159752711,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4285714285714285
4d5b26bc-e08f-46be-8d5d-366276b9f281,North West,Kaduna,chikun,"Ungwar mission, Bayan primary",10.3996012,7.7117223,15954.4658203125,298.5566711425781,0.0025655864737927,0.3626441085078728,2.650288159752711,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5
41ff3e08-3fea-443a-b3bd-869a44458e4b,North West,Kaduna,chikun,Ungwar mission,10.4002419,7.7117808,15894.6201171875,298.5566711425781,0.0025655864737927,0.3626441085078728,2.6499171925792786,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5
f1235f8b-6208-4421-b471-81ed1a66d66e,North West,Kaduna,jaba,Ohos,9.4112223,7.9603687,8214.921875,299.1608581542969,0.002861738204956,0.0648068112890235,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
61fa4432-3567-4d26-b8c6-7892ec3bfa5e,North Central,Kogi,lokoja,Karara,7.9379057,6.7535411,1313.5189208984375,302.25732421875,0.0017796366009861,0.1779712646501909,2.4298574435335705,False,False,False,False,False,False,False,True,False,False,False,False,False,0.25
c53f51f6-a8bf-42ca-ac78-8c575418bced,North West,Kaduna,kajuru,Bayan Primary,10.4004117,7.7103442,15533.09765625,298.5566711425781,0.0025655864737927,0.3522837779096966,2.649850943765121,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3846153846153846
d1011668-9e58-4fe3-a000-609fc4db597e,North Central,Niger,bosso,Ung Nufawa,9.6370605,6.3284407,5058.6171875,301.91357421875,0.001829944201745,0.1122541176588074,2.3276837118826887,False,False,False,False,False,False,False,False,True,False,False,False,False,0.5
f9ae203d-adb8-4cb1-b266-79cd0947a174,North West,Kaduna,chikun,Ungwar mission,10.39899,7.71135,15814.93359375,298.5566711425781,0.0025655864737927,0.3574639432087847,2.650288159752711,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4285714285714285
a9d0ebb3-3434-4c76-af4c-e78b300c8c99,North Central,Kogi,lokoja,Felele  Isegba,7.848078,6.7256032,22611.61328125,301.93035888671875,0.0015580321196466,0.879846616667217,3.234094222482081,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9090909090909092
3e749bd0-d276-4d7c-a0ef-c83bd3e8cba6,North Central,Nassarawa,lafia,Layin NBS,8.4849998,8.5386867,40445.9296875,301.7252502441406,0.0021396144293248,0.6541247869742751,2.886902123309351,False,False,False,True,False,False,False,False,False,False,False,False,False,1.0
8e97dcaa-a02c-4228-acb5-02ca58f97941,North West,Kaduna,jaba,Ohos,9.4125165,7.9616851,8562.4404296875,299.1608581542969,0.002861738204956,0.0693697378867382,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
f9a3cfbc-b9b0-47d6-a45a-33113e51fcff,North Central,Nassarawa,lafia,Nai yalwa,8.4806099,8.5385919,32208.541015625,301.7252502441406,0.0021396144293248,0.5705443569139894,2.877305730889373,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0
0936ed76-ce8d-481b-aeaa-ec98ea7088e8,South South,Rivers,obio/akpor,Elelenwo,4.8249817,7.0779706,56394.55859375,299.6994934082031,0.0075117978267371,1.2562104819470723,4.430113518227304,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
bda4d8d9-f2b4-4451-85ec-d7407e11fa4f,North West,Kaduna,kajuru,Sabon gari dusten gaya,10.4002711,7.7111317,15798.5869140625,298.5566711425781,0.0025655864737927,0.3522837779096966,2.6499171925792786,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4615384615384615
92cb4450-5e9e-420f-8a0b-62d5e82b5acd,North West,Kano,ungogo,Zaura fulani,12.0743584,8.6188953,22512.7890625,300.15924072265625,0.0010938303312286,0.6280787192455429,2.9321581803032,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7692307692307693
212c1b65-e776-4e80-bc68-afd77d971bc0,North West,Kaduna,jaba,Ungwan fada,9.4138902,7.9612358,7723.7099609375,299.1608581542969,0.002861738204956,0.0709153834219443,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
70615ede-bf7e-43c1-980f-98688f3de70c,North West,Kaduna,jaba,Sisin,9.4110149,7.9599528,7935.6181640625,299.1608581542969,0.002861738204956,0.0648068112890235,2.180232576849112,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
26d8cac7-a060-492f-ad08-e0430143d3d0,South South,Rivers,obio/akpor,Elelenwo,4.8256554,7.0781082,56297.1640625,299.6994934082031,0.0075117978267371,1.2562104819470723,4.430113518227304,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
cf03ea81-78ca-49bd-97f0-3fc88971d156,North West,Kano,ungogo,Gidan Nika,12.0800159,8.623272,21178.669921875,300.15924072265625,0.0010938303312286,0.559027820919417,2.829876214307495,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4615384615384615
9bd515c0-80ce-4960-b657-f31df597dbad,North West,Kano,ungogo,Unguwar mal Hamza,11.9967061,8.4368295,74192.203125,300.04254150390625,0.0011670461390167,0.9704100191561008,3.3729483603258,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
7157e040-fb15-46e8-88f7-c3b7cb932a60,North West,Kano,ungogo,Kadiyawa,12.0773606,8.6161912,22560.45703125,300.15924072265625,0.0010938303312286,0.6234897298550364,2.898157571037798,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6666666666666666
42f1a560-c2fa-4da0-83ee-47c6d112c20a,North Central,Niger,bosso,Ung Fada,9.6378228,6.3272094,5131.5673828125,301.91357421875,0.001829944201745,0.1122541176588074,2.3276837118826887,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4285714285714285
19732c51-d48e-459a-9515-b5e1050dce7d,North Central,Kogi,lokoja,Karara,7.9381966,6.7535004,1292.328857421875,302.25732421875,0.0017796366009861,0.1743814939499994,2.4298574435335705,False,False,False,False,False,False,False,True,False,False,False,False,False,0.25
3ff9a94b-d94b-49b4-a62c-06d009eac124,North West,Kano,ungogo,Gandu,12.0770373,8.6184189,22776.0703125,300.15924072265625,0.0010938303312286,0.5758739279242437,2.898157571037798,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7272727272727273
4df4cd80-162c-4071-9fd8-1d712ba0fc0a,North West,Kano,ungogo,Zaura fulani,12.0808441,8.6234578,20779.8125,300.15924072265625,0.0010938303312286,0.559027820919417,2.829876214307495,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4166666666666667
3ac9be55-dd04-482b-a207-0a8d8407217c,North Central,Nassarawa,lafia,Turn kauri,8.4831683,8.5390111,36784.03125,301.7252502441406,0.0021396144293248,0.616444363720867,2.8788325203052407,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0
1b5d2b91-d5c4-4343-815d-d0de121216f3,North Central,Niger,bosso,Tsohon gari,9.6430145,6.3272161,4202.83447265625,301.91357421875,0.001829944201745,0.1186636124202921,2.3276837118826887,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2727272727272727
ceb9a1b5-9fbc-423c-afed-bce52911c7d8,North Central,Niger,bosso,Tsohon gari,9.6416417,6.327544,4503.22314453125,301.91357421875,0.001829944201745,0.1186636124202921,2.3188452361194227,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3636363636363636
0f964d95-5200-4883-8e65-49f54cbff378,North West,Katsina,bakori,Yan lemu,11.5325953,7.3460882,25863.541015625,298.2949523925781,0.0017258528387174,0.6726699121920776,2.991294057329709,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8333333333333334
35b49e1e-091b-4f88-889c-f399585fe5fe,North West,Katsina,bakori,Yan lemu,11.53302,7.3456867,26376.2265625,298.2949523925781,0.0017258528387174,0.6726699121920776,3.039166452700835,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8333333333333334
81e2967d-aadc-4240-b20f-0076470be9d3,North Central,Niger,bosso,Tsohon Gari,9.6424733,6.3273351,4287.6640625,301.91357421875,0.001829944201745,0.1186636124202921,2.3276837118826887,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3
9b7b69c7-d1ae-4d4b-8037-f704d755b9ac,North Central,Niger,bosso,Ungwan Fada,9.6380477,6.3276918,5100.69921875,301.91357421875,0.001829944201745,0.111117533296022,2.3276837118826887,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4285714285714285
6a8bc5bc-9674-4dc7-84ad-ac9a40a53e38,North Central,Niger,bosso,Tsohowar Unguwa,9.6424695,6.3271419,4243.2978515625,301.91357421875,0.001829944201745,0.1186636124202921,2.3276837118826887,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3
08a7526a-0893-4f4c-b892-b64f3931ebab,North West,Kano,ungogo,Unguwar mal Hamza,11.9981433,8.4330029,33195.61328125,300.04254150390625,0.0011670461390167,0.970212126329817,3.2263158945338146,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
2e2a59a0-59db-491f-89f4-9a41228a51cc,North West,Kano,ungogo,Unguwar Malam Hamza,11.9979626,8.4327681,32492.01953125,300.04254150390625,0.0011670461390167,0.970212126329817,3.2263158945338146,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
4b105f17-a630-4eb2-925e-6b86a7faa960,South South,Rivers,obio/akpor,Iriebe,4.8814525,7.1034038,32627.1796875,299.57745361328125,0.0074183084070682,1.122111585744913,3.79868793836552,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
f5db57de-435a-4e6c-aa9e-02d910707387,North West,Katsina,bakori,Yan lemu,11.5323333,7.3459282,26129.1171875,298.2949523925781,0.0017258528387174,0.6726699121920776,2.991294057329709,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8181818181818182
a49b9919-ec6b-4d22-ae2f-ee666ccd279c,North West,Kano,ungogo,Rimin Zakara Unguwar Malam Hamza,11.9976952,8.4365684,66103.2265625,300.04254150390625,0.0011670461390167,0.9704100191561008,3.3677958496255016,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
bc614842-3899-438d-b3ab-a1e65fdbd77b,North West,Kano,ungogo,Unguwar mal Hamza,11.9969046,8.4374912,81242.6875,300.04254150390625,0.0011670461390167,0.9704100191561008,3.4072853743597102,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
8ea00b40-f731-4ebc-ac4a-cfa3ef2b39d6,North Central,Kogi,adavi,Zango daji,7.8048565,6.6832727,17013.6328125,301.93035888671875,0.0015580321196466,0.9502304544811612,3.373024123530365,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
75f08c1a-2b9a-4427-8656-63012bbb3ed9,North West,Kaduna,zangon_kataf,Sabon layi,9.6660332,8.3190377,7662.72119140625,297.9119873046875,0.0031805620528757,0.1294001875892782,2.3128872853021263,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3076923076923077
644c311f-29bd-452f-9985-dd622251b9c6,North Central,Niger,bosso,Ung Fada,9.6369674,6.3282253,5085.6142578125,301.91357421875,0.001829944201745,0.1133907020215928,2.3276837118826887,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4615384615384615
4b85bc58-337f-4373-97d5-1f30d9ec22a4,North West,Kaduna,giwa,Shika,11.1968066,7.5701227,19957.859375,298.53399658203125,0.0017541641136631,0.254114864068619,2.492047982016888,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3636363636363636
81726b73-a84f-4a92-9c50-b98b5ef514ec,South South,Rivers,obio/akpor,Elelenwo,4.8238974,7.0770834,58217.7734375,299.6994934082031,0.0075117978267371,1.2562104819470723,4.430113518227304,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
3d4742fc-626e-4047-bf87-02a7309c7b26,North West,Katsina,bakori,Kabomo,11.5920076,7.4489417,11501.109375,298.3702697753906,0.0016065860399976,0.0785504976718803,2.1934241993553614,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3076923076923077
031e3dec-7598-4691-bbf7-96c6c0ec6210,South South,Delta,ethiope_west,Orhokpogbo,5.8692464,5.7581171,39405.046875,299.7284240722656,0.0066637834534049,0.8574582921744243,3.1873043959690173,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0
ccb4bb6b-0039-46db-b22d-be16d451b4d0,North West,Katsina,funtua,Anguwan dawaki,11.361233,7.3429384,9037.724609375,298.4346923828125,0.001727825962007,0.1968430779993829,2.426216686296483,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3076923076923077
df3a7b69-677f-4d51-b21f-0130b8d15286,South South,Rivers,obio/akpor,Elelenwo,4.8249688,7.0773528,57663.3359375,299.6994934082031,0.0075117978267371,1.2727087403754105,4.430113518227304,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
7be490ed-dd18-4f95-b918-fae2df484d76,North Central,Kogi,adavi,New Zango,7.6085989,6.2254898,60895.98046875,300.22052001953125,0.0024369100574404,0.8754318571239685,3.332812138409055,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
12db0361-d655-4ec1-b5cd-54ea659f3b03,North West,Kaduna,zangon_kataf,Sabon layi,9.6661752,8.3188632,7666.8984375,297.9119873046875,0.0031805620528757,0.1294001875892782,2.324081280497631,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3076923076923077
49f6d534-ddb9-497c-ac47-514d11f48b42,North West,Katsina,funtua,Anguwan dawaki,11.3586516,7.3423157,8986.4375,298.4346923828125,0.001727825962007,0.1959845585665672,2.427739027402448,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3076923076923077
314dc1cb-2bb2-48df-b16c-cd9773cc6763,North West,Kaduna,zangon_kataf,Sabon layi,9.6662917,8.3188563,7673.44482421875,297.9119873046875,0.0031805620528757,0.1294001875892782,2.324081280497631,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3076923076923077
1cb49920-99eb-4aa7-9ef6-7cdbbae80c08,North West,Kaduna,zangon_kataf,Sabon layi,9.6668852,8.3191027,7685.75732421875,297.9119873046875,0.0031805620528757,0.1294001875892782,2.324081280497631,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3076923076923077
faedea73-ca5e-41c2-bc98-cee6931c01f2,North West,Kaduna,giwa,Shika,11.196593,7.5692157,19735.99609375,298.53399658203125,0.0017541641136631,0.2598178461675565,2.492047982016888,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3636363636363636
e9acb2e7-572c-4376-abce-ec69f075aabd,North West,Kaduna,zangon_kataf,Azagga Sabon Layi,9.6657594,8.3194222,7649.89599609375,297.9119873046875,0.0031805620528757,0.1293186299013844,2.3128872853021263,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3076923076923077
3c637018-97ab-4681-b0de-8f734c8ed808,North West,Kaduna,zangon_kataf,Sabon layi,9.6671783,8.3191026,7655.6611328125,297.9119873046875,0.0031805620528757,0.1346254577393165,2.324081280497631,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2857142857142857
314b9f75-4acb-40c0-90a4-859e8dd7e1c0,North West,Katsina,bakori,Kabomo,11.5925589,7.4500967,11367.6875,298.5599670410156,0.0014954495709389,0.0775721962029177,2.1934241993553614,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3636363636363636
ec622583-3499-4278-87e0-242beed3a354,South South,Delta,ethiope_west,Jesse,5.8690688,5.7576166,39566.0703125,299.7284240722656,0.0066637834534049,0.8574582921744243,3.1873043959690173,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0
737052c6-b0d9-4e58-a783-cc302e911046,North West,Kaduna,zangon_kataf,Sabon layi,9.6671705,8.3193797,7681.658203125,297.9119873046875,0.0031805620528757,0.1346254577393165,2.324081280497631,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3076923076923077
