hhid,zone,state,lga,settlement,_geo_latitude,_geo_longitude,tot_population,med_temperature,med_precipitation,med_awi,med_spending,urca_2,urca_3,urca_4,urca_5,urca_6,urca_7,urca_9,urca_10,urca_11,urca_12,urca_13,urca_16,urca_18,electrification_prop_ti
d8af8ab5-30ab-4d9f-bfe4-81231dbe5dbf,North Central,Niger,mashegu,Ibbi,9.4673342,4.9632883,7444.80419921875,301.9774780273437,0.0018067251658067,0.2711480152901705,2.729252599237413,False,False,False,False,False,False,False,False,False,True,False,False,False,0.7
e8245d5c-8130-4e78-b4b0-1053b7ecbc9b,North Central,Niger,mashegu,Ibbi,9.4659593,4.9626064,7812.6748046875,301.9774780273437,0.0018067251658067,0.3259200914481669,2.729252599237413,False,False,False,False,False,False,False,False,False,True,False,False,False,0.6363636363636364
435c8e27-517a-46b9-af04-48830e086d7a,North West,Kano,garun_malam,Tsohon Gari,11.6458203,8.4456806,6131.06201171875,299.5965576171875,0.0012006973847746,0.1250890956363188,2.3170460193676994,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3076923076923077
9303fa53-9fd2-41a9-9f0d-9567dbe5168e,North West,Kano,garun_malam,Tsohon Gari,11.6458459,8.4459237,6131.0625,299.5965576171875,0.0012006973847746,0.1250890956363188,2.3170460193676994,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3333333333333333
c62cc5a5-29c5-423b-9543-a7b05bda454b,North West,Kano,garun_malam,Tsohon Gari,11.6453845,8.4476583,6254.1044921875,299.5965576171875,0.0012006973847746,0.130273106560998,2.3170460193676994,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3636363636363636
d3cb220c-85a6-4f47-b6f3-16afac111a0c,North West,Kaduna,chikun,Ungwar mission,10.3986853,7.7106702,15735.0830078125,298.5566711425781,0.0025655864737927,0.3574639432087847,2.6499171925792786,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4285714285714285
2778d899-69d6-4943-896f-de0175716609,North West,Kaduna,giwa,Shika,11.1991395,7.5675721,20104.96875,298.53399658203125,0.0017541641136631,0.254114864068619,2.492047982016888,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4545454545454545
6acc2fae-6517-4360-a48a-0b73aa89953c,North Central,Niger,mashegu,Ibbi,9.4679315,4.9630798,7195.6005859375,301.9774780273437,0.0018067251658067,0.2711480152901705,2.7198447111386983,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5833333333333334
2fb2310c-02b8-4c8c-97de-024b05008625,North Central,Niger,mashegu,Ibbi,9.4671762,4.9635463,7578.001953125,301.9774780273437,0.0018067251658067,0.2711480152901705,2.729252599237413,False,False,False,False,False,False,False,False,False,True,False,False,False,0.6363636363636364
80a0c152-d59a-497e-9ae6-ecd97e4ce53f,North Central,Niger,mashegu,Ibbi,9.4682663,4.9640665,7207.24951171875,301.9774780273437,0.0018067251658067,0.2711480152901705,2.729252599237413,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5384615384615384
d18172c1-09c2-404f-aea3-4e9b3f147780,North Central,Niger,mashegu,Ibbi,9.468549,4.96376,7030.56640625,301.9774780273437,0.0018067251658067,0.2711480152901705,2.7198447111386983,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5384615384615384
